Start time: 2011-4-1 16:02:07
Channels:1
Time [ms],Y1 label
15740,172.000,0.000
15741,172.000,0.000
15742,172.000,0.000
15743,172.000,0.000
15744,171.000,0.000
15745,171.000,0.000
15746,170.000,0.000
15747,170.000,0.000
15748,171.000,0.000
15749,172.000,0.000
15750,173.000,0.000
15751,172.000,0.000
15752,172.000,0.000
15753,171.000,0.000
15754,171.000,0.000
15755,170.000,0.000
15756,171.000,0.000
15757,172.000,0.000
15758,172.000,0.000
15759,172.000,0.000
15760,172.000,0.000
15761,171.000,0.000
15762,170.000,0.000
15763,170.000,0.000
15764,170.000,0.000
15765,171.000,0.000
15766,172.000,0.000
15767,172.000,0.000
15768,172.000,0.000
15769,172.000,0.000
15770,171.000,0.000
15771,170.000,0.000
15772,170.000,0.000
15773,171.000,0.000
